source_id,source_type,source,review_question,evidence_scope,species_or_context,method_or_endpoint,principal_result,evidence_tier,primary_limitation
T1,Terpedia artifact,Absinthe Herbal Ingredients & Bioactive Compounds,What botanicals and constituents are associated with absinthe?,Preparation profile and botanical attribution,Terpedia profile,Knowledge-base/profile record,Defines starting botanical and constituent inventory,Observed in Terpedia artifact,Not an independent analytical or pharmacological experiment
T2,Terpedia artifact,GC-MS Certificate of Analysis — Absinthe Traditional Verte,What is reported in the analyzed preparation?,Volatile composition and exposure context,Swiss-style absinthe verte,HS-SPME/GC-MS with library and RI matching,Reports 27 volatile rows with trans-anethole dominant and thujones present,Observed in Terpedia artifact,Source artifact lacks raw chromatograms standards and independent replication
L1,Review,Nichols 2016 Psychedelics,What defines classic serotonergic psychedelic pharmacology?,5-HT2A mechanism and psychedelic classification,Human and preclinical literature,Pharmacology review,5-HT2A agonism is the reproducible mechanistic anchor,Mechanistically supported,Review is not absinthe-specific
L2,Primary human study,Madsen et al 2019,What is a positive-control chain from target to human experience?,5-HT2A occupancy exposure and subjective intensity,Healthy human volunteers,PET occupancy plasma psilocin and subjective measures,Psilocin exposure occupancy and subjective intensity covary,Directly characterized,Psilocybin is a comparator not an absinthe result
L3,Primary mechanistic study,Gonzalez-Maeso et al 2007,What downstream signaling is associated with hallucinogens?,Cortical 5-HT2A signaling,Preclinical cortical models,Receptor-mediated signaling assays,Hallucinogens recruit specific cortical 5-HT2A signaling pathways,Mechanistically supported,Does not test absinthe constituents
L4,Primary mechanistic study,Hold et al 2000 Alpha-thujone,Does thujone modulate GABA-A function?,Thujone receptor pharmacology and metabolism,Mice and rat neurons,Binding and electrophysiology,Alpha-thujone inhibits GABA-A function at the picrotoxin/convulsant site,Directly characterized,Not a human beverage exposure study
L5,Commentary,Olsen 2000 Absinthe and GABA receptors,How should thujone receptor findings be interpreted for absinthe?,GABA-A interpretation,Pharmacology commentary,Mechanistic commentary,Links absinthe claims to GABA-A toxicology rather than 5-HT2A,Mechanistically supported,Commentary is not a new experiment
L6,Review,Lachenmeier et al 2006 Absinthism,What alternative explanations exist for historical absinthism?,Historical toxicology and alcohol confounding,Historical and clinical literature,Review,Historical syndrome is heterogeneous and confounded,Mechanistically supported,Historical evidence cannot identify a receptor mechanism
L7,Review,Pelkonen et al 2013 Thujone toxicology,What is the safety and dose context for thujone?,Thujone toxicology and exposure,Human and experimental toxicology,Regulatory toxicology review,Neurotoxicity is dose-dependent and human exposure remains uncertain,Mechanistically supported,Does not establish psychedelic phenomenology
L8,Primary human study,Dettling et al 2004,Does thujone alter effects of alcohol in humans?,Controlled behavioral effects,25 healthy volunteers,Alcohol-matched drinks with 0 10 or 100 mg/L thujone and attention/mood measures,High thujone impaired peripheral attention and counteracted alcohol anxiolysis,Directly characterized,Endpoints were not validated psychedelic phenomenology
L9,Primary pharmacology study,Hold et al 2017 Metabolic Products of Linalool,Could linalool alter inhibitory signaling?,GABA-A-relevant linalool and metabolites,Mammalian/preclinical models,Receptor modulation assays,Reports GABA-A-relevant activity with isomer/metabolite qualifications,Preclinical candidate,Direction potency and CNS exposure for the absinthe constituent remain unresolved
L10,Primary pharmacology study,Memon et al 2019 trans-Anethole TRPA1,Could trans-anethole alter sensory-neural signaling?,TRPA1 activation,Human recombinant receptor and cellular assays,Functional receptor assay,Reports selective nonelectrophilic agonism of human TRPA1,Directly characterized,TRPA1 activity is not 5-HT2A psychedelic pharmacology
