compound,modulation_domain,modulation_level,receptor_or_system,evidence_basis,evidence_status,psychedelic_relevance,reported_concentration_mg_L,reported_area_pct
alpha-pinene,unresolved neural modulation,unestablished,,No qualifying compound-receptor edge located in the inspected Terpedia/SAIR map,no qualifying interaction located,Not established; do not infer from terpene presence,4.8,0.4
beta-pinene,unresolved neural modulation,unestablished,,No qualifying compound-receptor edge located in the inspected Terpedia/SAIR map,no qualifying interaction located,Not established; do not infer from terpene presence,7.2,0.6
beta-myrcene,unresolved neural modulation,unestablished,,No qualifying compound-receptor edge located in the inspected Terpedia/SAIR map,no qualifying interaction located,Not established; do not infer from terpene presence,3.6,0.3
limonene,unresolved neural modulation,unestablished,,No qualifying compound-receptor edge located in the inspected Terpedia/SAIR map,no qualifying interaction located,Not established; do not infer from terpene presence,6.0,0.5
"1,8-cineole",unresolved neural modulation,unestablished,,No qualifying compound-receptor edge located in the inspected Terpedia/SAIR map,no qualifying interaction located,Not established; do not infer from terpene presence,4.8,0.4
gamma-terpinene,unresolved neural modulation,unestablished,,No qualifying compound-receptor edge located in the inspected Terpedia/SAIR map,no qualifying interaction located,Not established; do not infer from terpene presence,2.4,0.2
linalool,inhibitory-tone modulation,preclinical candidate,GABA-A receptor complex,"Preclinical GABA-A-relevant literature; exact isomer, direction, potency, and CNS exposure remain unresolved",candidate,"Could modulate inhibitory tone but does not establish a classic psychedelic mechanism",9.6,0.8
alpha-thujone,inhibitory-tone/excitability modulation,directly characterized,"GABA-A picrotoxin/convulsant site; HTR2A unresolved","Direct binding and functional electrophysiology support GABA-A channel blockade; no qualifying 5-HT2A edge","supported for GABA-A; HTR2A unestablished","Non-5-HT2A excitation/disinhibition and toxicology candidate; not a classic psychedelic",14.4,1.2
beta-thujone,inhibitory-tone/excitability modulation,directly characterized,GABA-A picrotoxin/convulsant site,"Direct mixed-isomer binding evidence; beta-specific functional potency requires confirmation",partial,"Non-5-HT2A excitation/disinhibition and toxicology candidate; not a classic psychedelic",7.2,0.6
camphor,unresolved neural modulation,unestablished,,No qualifying compound-receptor edge located in the inspected Terpedia/SAIR map,no qualifying interaction located,Not established; do not infer from terpene presence,3.6,0.3
fenchone,neurotoxicity comparator,unresolved,GABA-A receptor complex,"Included as a safety/non-5-HT2A comparator; compound-resolved receptor evidence remains unresolved",unresolved,"Potential non-5-HT2A neuroactive modifier is a hypothesis, not psychedelic evidence",104.4,8.7
pinocamphone,neurotoxicity comparator,unresolved,GABA-A receptor complex,"Included as a safety/non-5-HT2A comparator; compound-resolved receptor evidence remains unresolved",unresolved,"Potential non-5-HT2A neuroactive modifier is a hypothesis",6.0,0.5
isopinocamphone,unresolved neural modulation,unestablished,,No qualifying compound-receptor edge located in the inspected Terpedia/SAIR map,no qualifying interaction located,Not established; do not infer from terpene presence,4.8,0.4
citronellal,unresolved neural modulation,unestablished,,No qualifying compound-receptor edge located in the inspected Terpedia/SAIR map,no qualifying interaction located,Not established; do not infer from terpene presence,2.4,0.2
